3,1,AVELLANEDA,LA PAMPA
3,2,ANTOFAGASTA DE LA SIERRA,SANTA FE
4,3,VILLA SANTA ROSA,SANTA CRUZ
0,4,ANDALGALA,SAN LUIS
1,5,AVELLANEDA,SANTA CRUZ
3,6,9 DE JULIO,SANTA CRUZ
4,7,HERMOSO CAMPO,CHUBUT
1,8,JOAQUIN V. GONZALEZ,LA PAMPA
2,9,AVELLANEDA,MISIONES
1,10,GENERAL PINEDO,ENTRE RIOS
0,11,ALMIRANTE BROWN,SAN JUAN
2,12,LAS BRENAS,MENDOZA
0,13,BELEN,MENDOZA
1,14,HERMOSO CAMPO,JUJUY
1,15,CARHUE,LA PAMPA
1,16,25 DE MAYO,SALTA
1,17,BAHIA BLANCA,CORDOBA
4,18,VIEDMA,CHUBUT
4,19,HERRERA,SAN LUIS
3,20,VILLA GENERAL ROCA,JUJUY
3,21,VILLA DEL SALVADOR,LA PAMPA
4,22,25 DE MAYO,SALTA
4,23,SIERRA COLORADA,CORDOBA
4,24,GENERAL PINEDO,RIO NEGRO
0,25,VILLA SANTA ROSA,SAN JUAN
0,26,VILLA ATAMISQUI,ENTRE RIOS
1,27,ALBERTI,JUJUY
3,28,ALBA POSSE,CORRIENTES
0,29,9 DE JULIO,NEUQUEN
1,30,HERMOSO CAMPO,JUJUY
2,31,LA PUERTA,SANTIAGO DEL ESTERO
1,32,9 DE JULIO,LA PAMPA
3,33,VILLA GENERAL MITRE,LA PAMPA
4,34,HERRERA,SANTIAGO DEL ESTERO
3,35,LA PUERTA,MENDOZA
3,36,ALBA POSSE,RIO NEGRO
1,37,ANELO,SALTA
1,38,CAMPO GALLO,CORRIENTES
1,39,VIEDMA,BUENOS AIRES
1,40,BALCARCE,ENTRE RIOS
0,41,ALUMINE,ENTRE RIOS
4,42,ALUMINE,MISIONES
4,43,VIEDMA,CORDOBA
4,44,MAQUINCHAO,BUENOS AIRES
0,45,CHOELE CHOEL,SANTA CRUZ
0,46,LA BANDA,FORMOSA
2,47,VIEDMA,CORRIENTES
4,48,AVELLANEDA,ENTRE RIOS
0,49,LAS BRENAS,MISIONES
4,50,ADOLFO GONZALES CHAVES,CATAMARCA
2,51,ALBA POSSE,SANTA FE
1,52,BAHIA BLANCA,LA RIOJA
2,53,LA BANDA,MISIONES
0,54,VILLA ATAMISQUI,CHUBUT
4,55,LA PUERTA,SANTIAGO DEL ESTERO
4,56,ANDALGALA,SANTIAGO DEL ESTERO
4,57,BALCARCE,ENTRE RIOS
1,58,ALUMINE,CHUBUT
0,59,ADOLFO GONZALES CHAVES,FORMOSA
0,60,HERMOSO CAMPO,CATAMARCA
0,61,CAMPO GALLO,BUENOS AIRES
1,62,MAQUINCHAO,CORRIENTES
3,63,CHOELE CHOEL,CHUBUT
3,64,VILLA GENERAL ROCA,BUENOS AIRES
2,65,CHOELE CHOEL,CORDOBA
0,66,MARGARITA BELEN,SANTA CRUZ
2,67,CARHUE,CORDOBA
2,68,HERMOSO CAMPO,SAN LUIS
0,69,BARADERO,LA PAMPA
1,70,AIMOGASTA,SAN LUIS
3,71,9 DE JULIO,NEUQUEN
0,72,VILLA DEL SALVADOR,NEUQUEN
2,73,BAHIA BLANCA,LA PAMPA
3,74,CAMPO GALLO,SANTA FE
3,75,TOSTADO,BUENOS AIRES
4,76,ANCASTI,LA RIOJA
1,77,VILLA ATAMISQUI,RIO NEGRO
4,78,ALBA POSSE,MENDOZA
3,79,VILLA GENERAL ROCA,CORDOBA
3,80,ALUMINE,FORMOSA
0,81,AZUL,MISIONES
0,82,AZUL,NEUQUEN
4,83,HERMOSO CAMPO,MISIONES
0,84,LA BANDA,CHACO
4,85,ALBA POSSE,SANTA CRUZ
0,86,SIERRA COLORADA,SAN LUIS
2,87,VILLA GENERAL SAN MARTIN,SANTA FE
2,88,ALMIRANTE BROWN,TUCUMAN
2,89,VILLA DEL SALVADOR,SALTA
4,90,BALCARCE,RIO NEGRO
0,91,ANDALGALA,SAN JUAN
